name,club,profile_image,year,market_value
Otavio Gut,Figueirense Futebol Clube,https://img.a.transfermarkt.technology/portrait/small/894212-1663898180.jpg?lm=1,27,-
Mauro Júnior,PSV Eindhoven,https://img.a.transfermarkt.technology/portrait/small/323910-1613232287.jpg?lm=1,24,€5.00m
Mauricio Isla,CA Independiente,https://img.a.transfermarkt.technology/portrait/small/43722-1567076491.JPG?lm=1,35,€425k
Ítalo Melo,AD Confiança,https://img.a.transfermarkt.technology/portrait/small/258622-1662655925.jpg?lm=1,30,€250k
None,None,None,None,None
Patrick Vieira,Bayer 04 Leverkusen,https://img.a.transfermarkt.technology/portrait/small/3183-1458213441.jpg?lm=1,47,-
João Cancelo,FC Barcelona,https://img.a.transfermarkt.technology/portrait/small/182712-1675080937.jpg?lm=1,29,€50.00m
Adriano,Sport Club Internacional,https://img.a.transfermarkt.technology/portrait/small/34495-1538046358.JPG?lm=1,39,-
Maureen Franco,IA Sud America Montevideo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,€15k
Silvio Piola,---,https://img.a.transfermarkt.technology/portrait/small/s_177829_4023_2013_09_12_1.jpg?lm=1,-,-
Alex Leandro,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Felipe Chaves,AD Aserrí,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
Gabriel,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Willy Rivas,Without Club,https://img.a.transfermarkt.technology/portrait/small/82315-1606924946.jpg?lm=1,38,-
Hygor,EC Bahia U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
Rodrigo Valiente,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,34,-
Jesús Cisneros,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,45,-
Fernando Meneses,None,https://img.a.transfermarkt.technology/portrait/small/65946-1469976617.png?lm=1,38,-
Nani,Adana Demirspor,https://img.a.transfermarkt.technology/portrait/small/33706-1695118404.png?lm=1,37,€400k
Fabricio Bustos,Sport Club Internacional,https://img.a.transfermarkt.technology/portrait/small/275381-1635922877.JPG?lm=1,27,€6.50m
Rafael Leão,AC Milan,https://img.a.transfermarkt.technology/portrait/small/357164-1661352687.jpg?lm=1,24,€90.00m
Carlinhos,Shimizu S-Pulse,https://img.a.transfermarkt.technology/portrait/small/41417-1526392853.jpg?lm=1,36,-
Murilo,Sociedade Esportiva Palmeiras,https://img.a.transfermarkt.technology/portrait/small/458710-1642081312.png?lm=1,26,€8.50m
Igor Coronado,Al-Ittihad Club,https://img.a.transfermarkt.technology/portrait/small/215915-1687958822.JPG?lm=1,31,€6.00m
Léo Carvalho,Associação Olímpica de Itabaiana (SE),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,37,-
Sebastián Espalter,Central Español U19,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Evandro Gigante,EC Cruzeiro,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Réver,---,https://img.a.transfermarkt.technology/portrait/small/72489-1662403930.jpg?lm=1,38,-
Rodolfo Rodríguez,Águilas de la U,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,67,-
Luciano Urán,Juventus Academy Lloret de Mar,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Denis Zakaria,AS Monaco,https://img.a.transfermarkt.technology/portrait/small/334526-1667990520.jpg?lm=1,27,€20.00m
Enzo Trillas,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,34,-
Mattéo Guendouzi,SS Lazio,https://img.a.transfermarkt.technology/portrait/small/465830-1646212708.jpg?lm=1,24,€20.00m
Igor Maduro,Associação Esportiva Velo Clube Rioclarense (SP),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Federico Mesner,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Moreilândia,Nacional AC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,34,-
Wellington Nem,Esporte Clube Vitória,https://img.a.transfermarkt.technology/portrait/small/121988-1548342495.jpg?lm=1,31,€500k
Biro Paraíba,Sport Lagoa Seca (PB),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,-
Thiaguinho,EC Água Santa,https://img.a.transfermarkt.technology/portrait/small/583064-1663320988.jpg?lm=1,26,€250k
Ismael López,Club Atlético Independiente U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,45,-
Lucas Casavieja,Colon FC de Uruguay,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
None,None,None,None,None
Agustín Goñi,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Kallyl,Ibri Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,€100k
Mateus Mendes,Azuriz FC,https://img.a.transfermarkt.technology/portrait/small/415859-1674928766.jpg?lm=1,31,-
Matheus Serra,CS Sergipe,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Joãozinho,Grêmio Novorizontino,https://img.a.transfermarkt.technology/portrait/small/73783-1607083520.png?lm=1,34,€400k
William,SC Cabreiros,https://img.a.transfermarkt.technology/portrait/small/22720-1550846353.jpg?lm=1,38,-
Zé Augusto,Treze FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,55,-
Willian Santos,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Guilherme Lucena,Associação Atlética Anapolina (GO),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Giovanni Trapattoni,FC Zürich,https://img.a.transfermarkt.technology/portrait/small/262-1587713979.jpg?lm=1,,None
Gabriel Carioca,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Luis Suárez,---,https://img.a.transfermarkt.technology/portrait/small/172315-1572959312.jpg?lm=1,-,-
Marcão,Sevilla FC,https://img.a.transfermarkt.technology/portrait/small/439022-1681476532.jpg?lm=1,27,€6.00m
Aleksandr Gutor,BATE Borisov,https://img.a.transfermarkt.technology/portrait/small/86269-1585820905.png?lm=1,34,€200k
Paulinho,Sport Club Corinthians Paulista,https://img.a.transfermarkt.technology/portrait/small/57229-1563350348.jpg?lm=1,35,€800k
Talles Cunha,Without Club,https://img.a.transfermarkt.technology/portrait/small/81457-1487773812.JPG?lm=1,34,-
Óscar Guerrero,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Alexander Araujo,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_135141_1450_2013_05_16_1.jpg?lm=1,42,-
Queven,FC Shkupi,https://img.a.transfermarkt.technology/portrait/small/533728-1677510116.png?lm=1,25,€400k
João Arthur,Grêmio Desportivo Prudente (SP),https://img.a.transfermarkt.technology/portrait/small/s_137641_1023_2012_1.jpg?lm=1,33,-
Rafael Oliveira,Unknown,https://img.a.transfermarkt.technology/portrait/small/s_210120_6347_2012_1.jpg?lm=1,36,-
Lucas Newiton,Mineiros Esporte Clube (GO),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
Deco,SS Lazio,https://img.a.transfermarkt.technology/portrait/small/8564-1595427079.jpg?lm=1,46,-
Liedson,Fulham FC,https://img.a.transfermarkt.technology/portrait/small/s_13952_614_2012_2.jpg?lm=1,45,-
Paulinho,Sporting CP,https://img.a.transfermarkt.technology/portrait/small/211072-1612359887.jpg?lm=1,31,€6.50m
Bruno Serrón,Tacuarembó Futbol Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,€175k
Martín Jourdan,Club Plaza Colonia,https://img.a.transfermarkt.technology/portrait/small/856606-1669398660.jpg?lm=1,22,€200k
Mauricio Arias,Karketu Dili FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Odail Júnior,Mixto EC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Lucas de los Santos,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Sebastián Hohl,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Eduardo Palacios Fabre,Goiás EC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Johnnattan,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_111750_16441_2010_1.jpg?lm=1,35,-
Matías Manríquez,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Lucio Segovia,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Joe Mendes,SC Braga,https://img.a.transfermarkt.technology/portrait/small/579284-1662117954.jpg?lm=1,20,€1.50m
Leandro Leite,TSV Berßel,https://img.a.transfermarkt.technology/portrait/small/410003-1634635371.jpg?lm=1,40,-
Careca,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_117626_123_2012_1.jpg?lm=1,63,-
Neymar,Al-Hilal SFC,https://img.a.transfermarkt.technology/portrait/small/68290-1697056482.png?lm=1,31,€50.00m
Matías Sen,Comerciantes Unidos,https://img.a.transfermarkt.technology/portrait/small/347003-1693045535.jpg?lm=1,32,€350k
Róger Mejía,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Worldwide athletes,None,None,None,None
MadeinFootball,None,None,None,None
Luiz Felipe,Al-Ittihad Club,https://img.a.transfermarkt.technology/portrait/small/457931-1595857216.jpg?lm=1,26,€15.00m
Carlos Villalba Perdomo,None,None,None,None
Ico,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,51,-
Uellington Martins,Rosario Central Potosi,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,-
Yuberney Franco,Libertador FC,https://img.a.transfermarkt.technology/portrait/small/s_77206_7136_2012_12_19_1.jpg?lm=1,38,-
Diego Morales,Without Club,https://img.a.transfermarkt.technology/portrait/small/87492-1650563083.jpg?lm=1,37,-
Rodrigo Brasesco,Club Atlético Bella Vista,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,37,€10k
Caio,Artsul Futebol Clube (RJ),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Ignacio Pallas,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,40,-
José Antonio Reyes,---,https://img.a.transfermarkt.technology/portrait/small/7717-1559470124.jpg?lm=1,-,-
Manuel Ugaz,None,https://img.a.transfermarkt.technology/portrait/small/94513-1606037049.png?lm=1,42,-
Toni Kroos,Real Madrid,https://img.a.transfermarkt.technology/portrait/small/31909-1700638741.jpg?lm=1,33,€15.00m
Gonzalo Fierro,None,https://img.a.transfermarkt.technology/portrait/small/52995-1671630071.jpg?lm=1,40,-
Fernando Medina,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Paulinho,Sport Club Corinthians Paulista,https://img.a.transfermarkt.technology/portrait/small/57229-1563350348.jpg?lm=1,35,€800k
Tiago Pará,Hercílio Luz FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Ruan,EC Santo André,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Diogo Dolem,Atlético Rio Negro Clube,https://img.a.transfermarkt.technology/portrait/small/s_264589_4064_2012_1.jpg?lm=1,31,-
Renan Donizete,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Ramon Tanque,FC Dornbirn,https://img.a.transfermarkt.technology/portrait/small/825379-1695656602.jpg?lm=1,25,€150k
Evair,AS Dragon,https://img.a.transfermarkt.technology/portrait/small/222767-1698165984.jpg?lm=1,58,-
Thiaguinho,EC Água Santa,https://img.a.transfermarkt.technology/portrait/small/583064-1663320988.jpg?lm=1,26,€250k
Breno Caetano,CA Fénix,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Edson Carioca,Botafogo FC,https://img.a.transfermarkt.technology/portrait/small/794925-1674700502.jpg?lm=1,25,€100k
Thiaguinho,EC Água Santa,https://img.a.transfermarkt.technology/portrait/small/583064-1663320988.jpg?lm=1,26,€250k
Maycon Douglas,ABC Futebol Clube (RN),https://img.a.transfermarkt.technology/portrait/small/554061-1631629188.jpg?lm=1,27,€300k
Marcelinho Paraíba,Without Club,https://img.a.transfermarkt.technology/portrait/small/953-1461311108.jpg?lm=1,48,-
Wescley,Clube Atlético Tricordiano (MG),https://img.a.transfermarkt.technology/portrait/small/s_44702_1134_2012_1.jpg?lm=1,39,-
Carlinhos,Shimizu S-Pulse,https://img.a.transfermarkt.technology/portrait/small/41417-1526392853.jpg?lm=1,36,-
Rafael Leão,AC Milan,https://img.a.transfermarkt.technology/portrait/small/357164-1661352687.jpg?lm=1,24,€90.00m
None,None,None,None,None
Ronan Finn,Shamrock Rovers,https://img.a.transfermarkt.technology/portrait/small/85709-1662368543.jpg?lm=1,35,€50k
Bruno Nunes,Amazonas FC,https://img.a.transfermarkt.technology/portrait/small/s_186459_21829_2012_1.jpg?lm=1,33,-
Gastón Bueno,Racing Club de Montevideo,https://img.a.transfermarkt.technology/portrait/small/76672-1473707116.jpg?lm=1,38,€25k
Mauricio Victorino,Liverpool FC Montevideo,https://img.a.transfermarkt.technology/portrait/small/44935-1475692914.jpg?lm=1,41,-
Éver Banega,Al-Shabab FC,https://img.a.transfermarkt.technology/portrait/small/12249-1685910960.jpg?lm=1,35,€1.80m
Caio Cunha,Cianorte Futebol Clube (PR),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Igor Zubeldia,Real Sociedad,https://img.a.transfermarkt.technology/portrait/small/355628-1664974849.jpg?lm=1,26,€18.00m
Alemão,Real Oviedo,https://img.a.transfermarkt.technology/portrait/small/s_117634_123_2013_01_04_1.jpg?lm=1,62,-
Eliton Júnior,Kuopion Palloseura,https://img.a.transfermarkt.technology/portrait/small/568467-1639241506.png?lm=1,25,€400k
Tiago Cunha,FC Viikingit II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Lincon,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Andrés Fernández,Levante UD,https://img.a.transfermarkt.technology/portrait/small/57522-1662569651.png?lm=1,36,€600k
Juan Álvez,CA Fénix,https://img.a.transfermarkt.technology/portrait/small/s_76795_861_2012_1.jpg?lm=1,40,€25k
Ignacio Casas,Colon FC de Uruguay,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Acácio Mesquita,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Enzo Pérez,CA River Plate,https://img.a.transfermarkt.technology/portrait/small/56066-1625771376.png?lm=1,37,€1.00m
None,None,None,None,None
Victor Cabral,Mojocoya FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,-
Japhet Tanganga,FC Augsburg,https://img.a.transfermarkt.technology/portrait/small/346478-1694588455.jpg?lm=1,24,€5.00m
Luan,Without Club,https://img.a.transfermarkt.technology/portrait/small/349820-1658380413.png?lm=1,27,€300k
Catalino Saavedra,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Thiago Passos,Barcelona FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,37,-
Roger Gaúcho,CE Aimoré,https://img.a.transfermarkt.technology/portrait/small/s_55273_8344_2012_1.jpg?lm=1,37,-
Fernando Cravero,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,43,-
Eduardo Grasson,Esporte Clube Taubaté (SP),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Ernesto Goñi,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Moisés Caicedo,Chelsea FC,https://img.a.transfermarkt.technology/portrait/small/687626-1660729724.jpg?lm=1,22,€90.00m
Mateo Charamoni,Tacuarembó Futbol Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,€100k
Renan,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_100910_2125_2010_1.jpg?lm=1,32,-
Dudu Figueiredo,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_175183_776_2012_1.jpg?lm=1,32,-
Valentín Fernández,CA Independiente (Chivilcoy),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Ramon Rocha,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Nicolas Ruiz,Club Comunicaciones U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,18,-
Edi Carlos,Vitória FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Ynaiã,Athletic Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Carlão,Without Club,https://img.a.transfermarkt.technology/portrait/small/52893-1678904544.jpg?lm=1,37,€100k
SBE Management AG,None,None,None,None
Jack Grealish,Manchester City,https://img.a.transfermarkt.technology/portrait/small/203460-1676499047.jpg?lm=1,28,€75.00m
