name,club,profile_image,year,market_value
None,None,None,None,None
None,None,None,None,None
Florian Ankoué,Tremblay FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,-
Jasar Takak,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,41,-
Diogo Izata,AS FC Buzau,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,€175k
Yannis Takerboucht,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_164941_8512_2012_1.jpg?lm=1,30,-
Diogo Izata,AS FC Buzau,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,€175k
Dudu,Sociedade Esportiva Palmeiras,https://img.a.transfermarkt.technology/portrait/small/114937-1483707641.jpg?lm=1,31,€9.00m
Tom Hiariej,None,https://img.a.transfermarkt.technology/portrait/small/62064-1491391271.jpg?lm=1,35,-
Luis Vasco,CD Santa Clara,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,56,-
Vertical Sports 360,None,None,None,None
Jonah Talan,vv Heerenveen,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Miguel Pereira,GD Estoril Praia,https://img.a.transfermarkt.technology/portrait/small/s_8949_123_2013_04_26_1.jpg?lm=1,48,-
Francesco Talarico,US Catanzaro Youth,https://img.a.transfermarkt.technology/portrait/small/1054800-1666259452.jpg?lm=1,20,-
Gabriel Pereira,Al-Rayyan SC,https://img.a.transfermarkt.technology/portrait/small/736954-1678634141.jpg?lm=1,22,€7.00m
Aniss Benchabane,None,None,None,None
Guilherme Rufino,Capital Futebol Clube (TO) U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Guilherme Rufino,Capital Futebol Clube (TO) U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Gianni Talerico,Football Club Ramatuelle,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Pedro Henrique,Lion City Sailors,https://img.a.transfermarkt.technology/portrait/small/164015-1676529817.jpg?lm=1,30,€1.30m
