name,club,profile_image,year,market_value
Andrew Fox,Orange County SC,https://img.a.transfermarkt.technology/portrait/small/382778-1700720691.jpg?lm=1,30,€175k
Robert Coronado,Rio Grande Valley FC Toros,https://img.a.transfermarkt.technology/portrait/small/657901-1649184989.JPG?lm=1,27,€200k
Matthew Sheldon,Hartford Athletic,https://img.a.transfermarkt.technology/portrait/small/423966-1679124805.jpg?lm=1,31,€150k
Brian Rosales,None,https://img.a.transfermarkt.technology/portrait/small/273928-1638131758.jpg?lm=1,28,-
John Tolkin,New York Red Bulls,https://img.a.transfermarkt.technology/portrait/small/683812-1646141578.JPG?lm=1,21,€4.00m
Alexis Gamboa,LD Alajuelense,https://img.a.transfermarkt.technology/portrait/small/452714-1532355675.jpg?lm=1,24,€300k
Ramiro Costa,Montevideo Wanderers,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,€250k
Guillermo Allison,Querétaro FC,https://img.a.transfermarkt.technology/portrait/small/73523-1580829714.jpg?lm=1,33,€400k
Luis Cárdenas,CF Monterrey,https://img.a.transfermarkt.technology/portrait/small/280379-1580827417.png?lm=1,30,€600k
Andrés Gudiño,CD Cruz Azul,https://img.a.transfermarkt.technology/portrait/small/421920-1580829752.jpg?lm=1,26,€600k
Luis Binks,Coventry City,https://img.a.transfermarkt.technology/portrait/small/471004-1656261737.jpg?lm=1,22,€2.80m
Kevin Venegas,None,https://img.a.transfermarkt.technology/portrait/small/222633-1524393597.jpg?lm=1,34,-
Shea Salinas,None,https://img.a.transfermarkt.technology/portrait/small/80670-1645889990.jpg?lm=1,37,-
C.J. Cochran,Oklahoma City Energy FC,https://img.a.transfermarkt.technology/portrait/small/367730-1666990231.jpg?lm=1,32,-
Ford Parker,New Mexico United,https://img.a.transfermarkt.technology/portrait/small/742148-1679771736.jpg?lm=1,27,€75k
Phil Breno,Tampa Bay Rowdies,https://img.a.transfermarkt.technology/portrait/small/658569-1651268516.jpg?lm=1,27,€100k
Mark Lindström,Without Club,https://img.a.transfermarkt.technology/portrait/small/636990-1582451340.jpg?lm=1,27,-
Rennico Clarke,Without Club,https://img.a.transfermarkt.technology/portrait/small/354653-1489303032.jpg?lm=1,28,-
Hayden Sargis,D.C. United,https://img.a.transfermarkt.technology/portrait/small/693178-1678030588.jpg?lm=1,21,€150k
Phanuel Kavita,Birmingham Legion FC,https://img.a.transfermarkt.technology/portrait/small/367392-1678730691.JPG?lm=1,30,€325k
Niall Logue,Hartford Athletic,https://img.a.transfermarkt.technology/portrait/small/569328-1679124503.jpg?lm=1,28,€150k
None,None,None,None,None
José Arroyo,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,-
Jack de Vries,Vis Pesaro 1898,https://img.a.transfermarkt.technology/portrait/small/659781-1700050456.jpg?lm=1,21,€250k
None,None,None,None,None
Christian Sorto,Without Club,https://img.a.transfermarkt.technology/portrait/small/682406-1679146923.jpg?lm=1,23,€175k
Jotha Pérez,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,41,-
Kairou Amoustapha,Cancún FC,https://img.a.transfermarkt.technology/portrait/small/543560-1683082422.jpg?lm=1,22,€100k
Chinonso Offor,CF Montréal,https://img.a.transfermarkt.technology/portrait/small/693412-1645957911.jpg?lm=1,23,€600k
Kwadwo Opoku,CF Montréal,https://img.a.transfermarkt.technology/portrait/small/565774-1678026820.jpg?lm=1,22,€2.50m
Christopher Garcia,El Paso Locomotive FC,https://img.a.transfermarkt.technology/portrait/small/743691-1678996490.jpg?lm=1,20,€100k
Jordan Bender,Without Club,https://img.a.transfermarkt.technology/portrait/small/633780-1618736893.jpg?lm=1,22,€200k
Tyler Wolff,Atlanta United FC,https://img.a.transfermarkt.technology/portrait/small/763648-1678217152.jpg?lm=1,20,€800k
Ilsinho,Without Club,https://img.a.transfermarkt.technology/portrait/small/52937-1618748420.JPG?lm=1,38,-
Pablo López,Tepatitlán FC,https://img.a.transfermarkt.technology/portrait/small/400192-1446030866.jpg?lm=1,25,€350k
Jonathan dos Santos,CF América,https://img.a.transfermarkt.technology/portrait/small/60445-1618677798.JPG?lm=1,33,€1.00m
Brian James,SG Eppenbrunn,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,48,-
Grant Robinson,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,39,-
Arthur Rogers,Northern Colorado Hailstorm FC,https://img.a.transfermarkt.technology/portrait/small/732253-1684571998.JPG?lm=1,27,€275k
Mobi Fehr,Monterey Bay FC,https://img.a.transfermarkt.technology/portrait/small/188146-1679147382.jpg?lm=1,28,€175k
Jordan Doherty,Tampa Bay Rowdies,https://img.a.transfermarkt.technology/portrait/small/434244-1592576492.JPG?lm=1,23,€200k
Jared Timmer,Sacramento Republic FC,https://img.a.transfermarkt.technology/portrait/small/510590-1666122148.jpg?lm=1,26,€250k
Anderson Asiedu,Birmingham Legion FC,https://img.a.transfermarkt.technology/portrait/small/637272-1678710453.JPG?lm=1,27,€300k
Modesto Méndez,Hartford Athletic,https://img.a.transfermarkt.technology/portrait/small/744587-1647705492.jpg?lm=1,25,€100k
Jordan Chavez,Central Valley Fuego FC,https://img.a.transfermarkt.technology/portrait/small/793329-1681496407.jpg?lm=1,26,€125k
None,None,None,None,None
Alberto Acosta,Without Club,https://img.a.transfermarkt.technology/portrait/small/146699-1564642087.jpg?lm=1,35,€200k
Mateo Hernández,CD Real Tomayapo,https://img.a.transfermarkt.technology/portrait/small/637859-1655143787.png?lm=1,25,€200k
Matt Fondy,International San Francisco SC,https://img.a.transfermarkt.technology/portrait/small/181757-1495723110.jpg?lm=1,34,-
Nico Rittmeyer,None,https://img.a.transfermarkt.technology/portrait/small/496608-1582362761.jpg?lm=1,30,-
Ates Diouf,Lexington SC,https://img.a.transfermarkt.technology/portrait/small/654134-1662800762.JPG?lm=1,23,€200k
Oliver Wright,Bath City,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Brooks Thompson,Philadelphia Union II,https://img.a.transfermarkt.technology/portrait/small/658051-1618855328.jpg?lm=1,21,€125k
Aidan Apodaca,Charleston Battery,https://img.a.transfermarkt.technology/portrait/small/572646-1678732105.jpg?lm=1,27,€150k
Iván Gutiérrez,Without Club,https://img.a.transfermarkt.technology/portrait/small/552949-1601936960.JPG?lm=1,25,-
Nicque Daley,Mount Pleasant FA,https://img.a.transfermarkt.technology/portrait/small/615371-1648234293.jpg?lm=1,23,€200k
José Rodríguez,Cimarrones de Sonora,https://img.a.transfermarkt.technology/portrait/small/600953-1564641837.jpg?lm=1,25,€200k
Alonso Zamora,Tepatitlán FC,https://img.a.transfermarkt.technology/portrait/small/129609-1617736804.jpg?lm=1,32,€300k
Édson Rivera,CD Leones Negros de la UdeG,https://img.a.transfermarkt.technology/portrait/small/139576-1469548388.png?lm=1,32,€400k
Rodrigo Aguirre,CF Monterrey,https://img.a.transfermarkt.technology/portrait/small/189410-1449133224.jpg?lm=1,29,€4.50m
Brian Sylvestre,None,https://img.a.transfermarkt.technology/portrait/small/180367-1582662100.jpg?lm=1,30,-
Vincent Tasca,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Mark Pais,None,https://img.a.transfermarkt.technology/portrait/small/364644-1582661875.jpg?lm=1,32,-
Bryan Byars,Without Club,https://img.a.transfermarkt.technology/portrait/small/364629-1582380143.jpg?lm=1,32,-
Aarón Guillén,Tampa Bay Rowdies,https://img.a.transfermarkt.technology/portrait/small/415334-1666990574.jpg?lm=1,30,€300k
Jay Bolt,Jacksonville Armada FC,https://img.a.transfermarkt.technology/portrait/small/509025-1561136957.jpg?lm=1,28,-
Óscar Ustari,Without Club,https://img.a.transfermarkt.technology/portrait/small/s_3755_3302_2012_1.jpg?lm=1,37,€600k
Innocent Maela,Orlando Pirates,https://img.a.transfermarkt.technology/portrait/small/308045-1608445500.png?lm=1,31,€1.00m
Rida Zouhir,CF Montréal,https://img.a.transfermarkt.technology/portrait/small/842421-1678564956.jpg?lm=1,20,€500k
Will Vint,Without Club,https://img.a.transfermarkt.technology/portrait/small/596219-1586084077.jpg?lm=1,22,-
Josh Atencio,Seattle Sounders FC,https://img.a.transfermarkt.technology/portrait/small/504205-1678301123.jpg?lm=1,21,€1.50m
Leonardo Lázaro,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,30,-
Marcel Ruszel,Torino Primavera,https://img.a.transfermarkt.technology/portrait/small/661157-1688634222.jpg?lm=1,19,€300k
Allan Rodriguez,Chicago Fire FC,https://img.a.transfermarkt.technology/portrait/small/745457-1619249649.jpg?lm=1,19,€100k
Álvaro Fidalgo,CF América,https://img.a.transfermarkt.technology/portrait/small/261503-1667309052.jpeg?lm=1,26,€7.00m
Aaron Molloy,Charleston Battery,https://img.a.transfermarkt.technology/portrait/small/428901-1679145637.jpg?lm=1,26,€350k
Noah Pilato,Greenville Triumph SC,https://img.a.transfermarkt.technology/portrait/small/658825-1684616502.jpg?lm=1,27,€150k
Konrad Plewa,New York Cosmos,https://img.a.transfermarkt.technology/portrait/small/367412-1524299222.jpg?lm=1,31,-
