name,club,profile_image,year,market_value
Dream and Goal,None,None,None,None
F.E.D,None,None,None,None
Ricardo Grance,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
None,None,None,None,None
ELEVEN SMA,None,None,None,None
None,None,None,None,None
Balthazar Bernardi,CA Boca Juniors II,https://img.a.transfermarkt.technology/portrait/small/897013-1665060155.JPG?lm=1,22,€150k
Pablo Despósito,CA Defensores Unidos (Zarate),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,34,€10k
SEG - Sports Entertainment Group,None,None,None,None
José Izquierdo,Without Club,https://img.a.transfermarkt.technology/portrait/small/147094-1486755753.jpg?lm=1,31,€350k
Dodici Sports Management,None,None,None,None
Jádson,Esporte Clube Juventude,https://img.a.transfermarkt.technology/portrait/small/29261-1543929792.jpg?lm=1,40,-
Maniche,Unknown,https://img.a.transfermarkt.technology/portrait/small/9822-1486128348.jpg?lm=1,46,-
Leonel Vergara,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Matías Locascio,ASD Cassano Sybaris,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
None,None,None,None,None
Agustín Pereyra,Club Villa Dálmine,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,€75k
Luis Argumosa,Club Sportivo Peñarol,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Deividas Semberas,Chelsea FC,https://img.a.transfermarkt.technology/portrait/small/15595-1477389952.jpg?lm=1,45,-
None,None,None,None,None
Gabriel Ojeda,CA Juventud Unida Universitario,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Lucas Leguizamón,CA Huracán Las Heras,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
GR Martinez Assessoria e Propaganda Esportiva Ltda,None,None,None,None
None,None,None,None,None
Eduardo Vallejos,Club Villa Dálmine II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
None,None,None,None,None
Danilo Actis,Club Atlético Sarmiento (Junin) II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
None,None,None,None,None
Ezequiel Aguirre,Defensores de Belgrano,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,€200k
None,None,None,None,None
Nicolás Cabas,Racing Club U20,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Adryan,Without Club,https://img.a.transfermarkt.technology/portrait/small/174835-1532792654.jpg?lm=1,29,€150k
Facundo Ferreyra,CA Sarmiento (Junin),https://img.a.transfermarkt.technology/portrait/small/93795-1537349948.jpg?lm=1,32,€250k
Federico Falcone,Valletta FC,https://img.a.transfermarkt.technology/portrait/small/118129-1510138685.jpg?lm=1,33,€100k
Scion Sports Management LLC,None,None,None,None
Alexandro Fernández,Sevilla Atlético,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,€25k
Federico Olariaga,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25,-
Ricardo Priori,Club Atlético Ferrocarril Midland,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,€25k
Facundo Rivero,Mushuc Runa SC,https://img.a.transfermarkt.technology/portrait/small/997377-1680548664.jpg?lm=1,30,€250k
Rodrigo Pittavino,CA Boca Juniors II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Julio Mendoza,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,None
Óscar Romero,Pendikspor,https://img.a.transfermarkt.technology/portrait/small/217886-1646343469.JPG?lm=1,31,€2.60m
Bruno Rodriguez,CD Pozoblanco,https://img.a.transfermarkt.technology/portrait/small/5742-1517069837.jpg?lm=1,51,-
Juan Lazaneo,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
José Luis Gómez,Racing Club II,https://img.a.transfermarkt.technology/portrait/small/282357-1523610162.jpg?lm=1,30,€100k
Jonathan Chacón,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
José Morales,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,52,-
Alinea - Matthieu Grossin & Lucas Jaramillo,None,None,None,None
Nadir Zeineddin,Club Atlético Platense,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,€75k
Gino Albertengo,Atlético de Rafaela U19,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,€50k
Axel Ruiz,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Coquito,Instituto AC Córdoba,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,57,-
None,None,None,None,None
Ramiro Garcia,Club Social y Atlético Guillermo Brown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Francisco Gómez,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Joaquín Enrico,Club Atlético Colón II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,€25k
None,None,None,None,None
Lucas Villagra,Club Atlético All Boys,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,€10k
OML SPORTS MANAGEMENT INTERNATIONAL,None,None,None,None
Juan Espínola,Olimpia Asunción,https://img.a.transfermarkt.technology/portrait/small/532557-1635923827.JPG?lm=1,29,€400k
JV SPORTS,None,None,None,None
Franco Herrera,CA Barracas Central,https://img.a.transfermarkt.technology/portrait/small/668506-1674735781.JPG?lm=1,20,€200k
Maximiliano Martínez,Centro Juventud Antoniana,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,-
Gabriel Mendez,Club Villa Mitre,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,50,-
Abraham Reartes,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,-
SEBI´S Talentschmiede Management,None,None,None,None
Mauro Priotti,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
None,None,None,None,None
Julio Arias,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Erik Granat,Lucksta IF,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Ian Silva,Gonzaga Bulldogs,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
None,None,None,None,None
Iván Romero,Levante UD,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,43,-
Yago Piro,CA Sansinena Social y Deportivo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Luciano Roberti,Club Social y Deportivo General Roca,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Nelson Seguel,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
Franco Rossi,Club Olimpo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,72,-
Santiago Tizón,Club Atlético Argentino de Quilmes,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
José Cesarini,Club Sportivo Desamparados (SJ),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,31,-
SimaSport Soccer,None,None,None,None
Gabriel Manes,CA Villa San Carlos,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
A & M Soccer GmbH,None,None,None,None
Cristian Ordoñez,Deportivo Armenio,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Joaquín Barro,CA General Paz Juniors,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Lucas Mulazzi,Club Social y Deportivo Merlo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Alejo Tello,Club Atlético Argentino de Quilmes,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
ROGON,None,None,None,None
Ian Bustamante,None,None,None,None
None,None,None,None,None
Renato Pinedo,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
Gianluca Ferrario,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,€50k
None,None,None,None,None
Matías Zaldívar,Círculo Deportivo (CNO),https://img.a.transfermarkt.technology/portrait/small/325170-1524252166.jpg?lm=1,28,-
Nadir Hadad,Club Olimpo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
None,None,None,None,None
None,None,None,None,None
Carlos Julio Martínez,CD Lugo,https://img.a.transfermarkt.technology/portrait/small/166658-1668787133.png?lm=1,29,€200k
Nazareno Hvala,Club Sportivo Dock Sud,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
None,None,None,None,None
Luis Cáceres,Club Sol de América,https://img.a.transfermarkt.technology/portrait/small/107317-1593245889.JPG?lm=1,35,-
Diego Hidalgo,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Diego Amarilla,Metropolitan Football Academy,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Lucas Romano,Unknown,https://img.a.transfermarkt.technology/portrait/small/s_308586_7179_2014_02_04_1.jpg?lm=1,31,-
Gabriel Navarro,FC St. Margrethen,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Rodrigo Soria,CA Ituzaingó,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,-
Iván Gorosito,CSD Tristan Suarez,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,€50k
Fernando Tantoni,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,34,-
Edgardo Rito,Hartford Athletic,https://img.a.transfermarkt.technology/portrait/small/308816-1663498688.jpg?lm=1,27,€250k
Santiago Muñoz,Santos Laguna,https://img.a.transfermarkt.technology/portrait/small/704554-1572342277.png?lm=1,21,€1.00m
Iván Hernández,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,43,-
Dream and Goal,None,None,None,None
Tomás Rossi,Sportivo Belgrano (San Francisco),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
Francisco Russo,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,79,-
None,None,None,None,None
Pablo Pavetti,Club Sportivo Ben Hur,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
Gastón Ortiz,CA Liniers (Bahia Blanca),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Cristian Acosta,CD Miguel Iturralde,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
None,None,None,None,None
Juan Alejandro Chaparro,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
Guillermo de los Santos,Defensor Sporting Club,https://img.a.transfermarkt.technology/portrait/small/179276-1662692761.jpg?lm=1,32,€300k
Camilo Rencoret,AC Barnechea,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,€175k
Virgil van Dijk,Liverpool FC,https://img.a.transfermarkt.technology/portrait/small/139208-1620651710.jpg?lm=1,32,€35.00m
None,None,None,None,None
Pablo Gutiérrez,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Lucas Gómez,Antigua GFC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,€175k
Santiago Ledesma,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,None
Bruno Alessandroni,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,59,-
Óscar Chiquichano,CS General San Martín (Formosa),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,-
Bruno Costella,Gutiérrez Sport Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Antonio López Management,None,None,None,None
Alejandro Tello,Sportivo Belgrano (San Francisco),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Jonny Smith,Inverurie Loco Works FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
None,None,None,None,None
Juan Altamiranda,Club Atlético Jorge Newbery,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Eduardo Brock,Club Cerro Porteño,https://img.a.transfermarkt.technology/portrait/small/435232-1639251668.jpg?lm=1,32,€300k
Patricio Pizarro,CA Huracán,https://img.a.transfermarkt.technology/portrait/small/1025886-1692105485.JPG?lm=1,23,€250k
Carlos Olascuaga,Deportivo Municipal,https://img.a.transfermarkt.technology/portrait/small/94450-1600582608.jpg?lm=1,31,€300k
Kevin Sandoval,Club Cienciano,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,61,-
Adrián Ugarriza,Club Sporting Cristal,https://img.a.transfermarkt.technology/portrait/small/325726-1651692369.png?lm=1,26,€275k
Willie Wallace,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,83,-
Ítalo Regalado,Academia Deportiva Cantolao,https://img.a.transfermarkt.technology/portrait/small/275266-1679170555.jpg?lm=1,28,€250k
None,None,None,None,None
Vavá,---,https://img.a.transfermarkt.technology/portrait/small/151248-1528366357.jpg?lm=1,-,-
None,None,None,None,None
Rising Management Sports Agency,None,None,None,None
Pablo Bueno,Futebol Clube Santa Cruz (RS),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
Gonzalo Beitia,FADEP,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,87,-
Mateo Rodas,Alianza Petrolera,https://img.a.transfermarkt.technology/portrait/small/653667-1660008458.JPG?lm=1,25,€300k
Diego San Julián,Círculo Deportivo (CNO),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Renzo Paparelli,CA Liniers (Bahia Blanca),https://img.a.transfermarkt.technology/portrait/small/652967-1556629631.png?lm=1,26,-
Nicolás Medina,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,41,-
Benjamín Ubierna,Unión Huaral,https://img.a.transfermarkt.technology/portrait/small/172630-1617644267.jpg?lm=1,32,€125k
Alexis Cossio,Carlos A. Mannucci,https://img.a.transfermarkt.technology/portrait/small/292729-1674593456.jpg?lm=1,28,€350k
Jhon Vega,Deportivo Llacuabamba,https://img.a.transfermarkt.technology/portrait/small/582318-1688042677.jpg?lm=1,28,€225k
Sebastián Riquelme,Club Almirante Brown,https://img.a.transfermarkt.technology/portrait/small/423933-1639164487.JPG?lm=1,27,€25k
Emartsoccer,None,None,None,None
Sergi López,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Mateo Di Molfetta,US Levico Terme,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Lucio Castillo,Brown de Adrogué,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,€10k
Barcelona Football Management,None,None,None,None
Alexis Delgado,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Mauro Valiente,AA Estudiantes (Río Cuarto),https://img.a.transfermarkt.technology/portrait/small/621403-1556630641.png?lm=1,23,€125k
Juan Cala,Hartford Athletic,https://img.a.transfermarkt.technology/portrait/small/67089-1447229485.jpg?lm=1,34,-
Nahuel Franco,AP Brera,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,€75k
Jairo Concha,Club Alianza Lima,https://img.a.transfermarkt.technology/portrait/small/490717-1677427054.jpg?lm=1,24,€900k
Julio Cáceres,Cibao FC,https://img.a.transfermarkt.technology/portrait/small/18733-1687211259.jpg?lm=1,44,-
None,None,None,None,None
Claudio Cevasco,Club Olimpo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Pol Anoul,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Elian Maidana,Nueva Chicago II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Horacio Benincasa,Cusco FC,https://img.a.transfermarkt.technology/portrait/small/260318-1683658156.png?lm=1,29,€325k
Werner Schuler,Sport Boys Association,https://img.a.transfermarkt.technology/portrait/small/149622-1678300306.jpg?lm=1,33,€200k
Damián Schmidt,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,30,€150k
None,None,None,None,None
Carlitos,PAS Lamia 1964,https://img.a.transfermarkt.technology/portrait/small/228885-1677704456.png?lm=1,33,€300k
Leixo,---,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Rónald González,Club de Deportes Limache,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,53,-
Agustín Funes,Club Atlético Talleres II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,19,-
None,None,None,None,None
Marcos Meriles,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
GR Martinez Assessoria e Propaganda Esportiva Ltda,None,None,None,None
None,None,None,None,None
None,None,None,None,None
Gonzalo Narváez,Sportivo del Bono,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
Matías Piteo,FK Auda,https://img.a.transfermarkt.technology/portrait/small/902445-1681399041.png?lm=1,21,€125k
None,None,None,None,None
Patxi Salinas,Club Deportes Iquique,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,60,-
None,None,None,None,None
Alberth Villalobos,Municipal Grecia,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,28,€125k
None,None,None,None,None
Antonio Samaniego,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
None,None,None,None,None
None,None,None,None,None
Proeleven S.A.,None,None,None,None
Leandro Fleitas,Universidad César Vallejo,https://img.a.transfermarkt.technology/portrait/small/26720-1641668299.JPG?lm=1,39,-
Wilson García,Deportivo Mixco,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,€50k
F.E.D,None,None,None,None
Renzo Vera,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,40,-
Nilson Castrillón,Junior FC,https://img.a.transfermarkt.technology/portrait/small/339760-1637856838.jpg?lm=1,27,€350k
Christian Ortiz,Deportivo Coopsol,https://img.a.transfermarkt.technology/portrait/small/214784-1689097807.JPG?lm=1,33,€75k
Felipe Villagrán,Deportes Cobreloa,https://img.a.transfermarkt.technology/portrait/small/451859-1537883737.jpg?lm=1,26,€300k
Agustín Alles,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,24,-
None,None,None,None,None
Luciano Romero,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,30,€50k
AREA SPORT TEAM,None,None,None,None
None,None,None,None,None
Anthony Rosell,Deportivo Binacional,https://img.a.transfermarkt.technology/portrait/small/356381-1644734312.jpg?lm=1,28,€425k
Martin Mimoun,CYB Ramón Santamarina,https://img.a.transfermarkt.technology/portrait/small/221618-1598373877.jpg?lm=1,31,-
None,None,None,None,None
None,None,None,None,None
Juan Pablo Rodríguez,Unknown,https://img.a.transfermarkt.technology/portrait/small/20136-1452003783.jpg?lm=1,44,-
None,None,None,None,None
José Luis Martín,Club Atlético Tigre,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,70,-
Federico Andueza,Liverpool FC Montevideo,https://img.a.transfermarkt.technology/portrait/small/365942-1645448343.JPG?lm=1,26,€400k
Rafael Guarderas,Academia Deportiva Cantolao,https://img.a.transfermarkt.technology/portrait/small/250737-1615647030.jpg?lm=1,30,€250k
ALÍ Sports Agency,None,None,None,None
Sport-Tour-LLC,None,None,None,None
Ignacio Castillo,Uruguay Montevideo FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Eduardo Melo,Mixto EC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,-
Juan De Stéfano,Gimnasia y Esgrima de Mendoza II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,€10k
Martín Marcial,Gimnasia y Esgrima de Jujuy II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,21,-
Joaquín Gómez,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
CITRON SPORTS MANAGEMENT GROUP,None,None,None,None
None,None,None,None,None
Tomás Capdevila,Club Atlético Atlanta II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Martin Rowlands,Lossiemouth FC,https://img.a.transfermarkt.technology/portrait/small/s_13734_3717_2013_09_24_1.jpg?lm=1,44,-
None,None,None,None,None
Universal Twenty Two,None,None,None,None
Mariano Gómez,Atlético de Madrid B,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Fabricio Núñez,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,38,-
Scouting Team B.V.,None,None,None,None
Gastón Bottino,CA Estudiantes,https://img.a.transfermarkt.technology/portrait/small/210533-1639163208.JPG?lm=1,37,€10k
None,None,None,None,None
Nicolás Kissner,None,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,35,-
Marcos Godoy,Club Atlético Colegiales,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,-
Paulão,Paysandu SC,https://img.a.transfermarkt.technology/portrait/small/44700-1487759384.jpg?lm=1,41,-
Andrigo,Chengdu Rongcheng,https://img.a.transfermarkt.technology/portrait/small/181775-1521811592.jpg?lm=1,28,€600k
None,None,None,None,None
Jaime González,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,46,-
Juan Mattea,AO Chaidariou,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,27,-
Pablo Martínez,Deportivo de La Coruña,https://img.a.transfermarkt.technology/portrait/small/282900-1498046804.jpg?lm=1,34,€250k
Enzo Gómez,Atlético Club San Martín (Mendoza),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,22,-
Roc Nation Sports,None,None,None,None
None,None,None,None,None
Valentino De Morra,APEP Pitsilia,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Santiago Scacchi,Club Social y Deportivo Merlo,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
RELC SPORTS INC.,None,None,None,None
Darwin Torres,CSD Municipal,https://img.a.transfermarkt.technology/portrait/small/202989-1678205979.jpg?lm=1,32,€350k
None,None,None,None,None
Emir Hamzic,SV Austria Salzburg II,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
Elian Coronas,Club Deportivo Argentino (MM),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Ezequiel Saporiti,Club Sportivo Estudiantes (San Luis),https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,23,-
Pablo Ostrowski,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,33,-
Marcos Báez,CD Quintanar del Rey,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,20,-
Julián Ferreyra,UAI Urquiza,https://img.a.transfermarkt.technology/portrait/small/401586-1446023537.jpg?lm=1,25,-
None,None,None,None,None
Enzo Castillo,La Luz Futbol Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,36,-
EGGO Asesores Deportivos,None,None,None,None
None,None,None,None,None
Raúl Bobadilla,Bandirmaspor,https://img.a.transfermarkt.technology/portrait/small/51356-1501157467.jpg?lm=1,36,€175k
None,None,None,None,None
Franco González,CA Peñarol,https://img.a.transfermarkt.technology/portrait/small/928621-1676634648.jpg?lm=1,19,€2.30m
None,None,None,None,None
Nicolás Zurco,Without Club,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,30,-
"BRAZIL SPORTS MANAGEMENT, LTDA",None,None,None,None
None,None,None,None,None
Nicolás Vidal,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,26,-
Diego Albornoz,Santiago City FC,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
José Aguirre,Unknown,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,-,-
Javier Bayk,Chaco For Ever,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,29,€75k
Lucas Villarruel,Gimnasia y Esgrima de Mendoza,https://img.a.transfermarkt.technology/portrait/small/268499-1462366501.jpg?lm=1,33,€250k
Brian Meza,Club Atlético Douglas Haig,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,32,-
